40.6943,-73.9249
34.1139,-118.4068
41.8373,-87.6862
25.7839,-80.2102
32.7936,-96.7662
40.0077,-75.1339
29.7863,-95.3889
33.7627,-84.4224
38.9047,-77.0163
42.3188,-71.0846
33.5722,-112.0891
47.6211,-122.3244
37.7562,-122.443
42.3834,-83.1024
32.8312,-117.1225
44.9635,-93.2678
27.9942,-82.4451
39.7621,-104.8759
40.6501,-73.9496
40.7498,-73.7976
33.9381,-117.3948
39.3051,-76.6144
36.2333,-115.2654
45.5372,-122.65
29.4658,-98.5253
38.6358,-90.2451
38.5667,-121.4683
28.4772,-81.3369
37.3019,-121.8486
41.4767,-81.6804
40.4396,-79.9762
30.3004,-97.7522
39.1413,-84.5061
39.1239,-94.5541
40.7834,-73.9662
39.7771,-86.1458
39.9862,-82.985
35.208,-80.8304
36.7335,-76.0435
